# x,y,z,J_x_err,J_y_err,J_z_err
-4.872718896309901487e-02,-9.327360009441355848e-02,1.622306241856295850e-02,1.317891747004921967e+02,1.179412597986554886e-02,1.246131723381393203e+04
-4.872156636278093811e-02,-9.254813839358122518e-02,1.903675371110261083e-02,4.248546446877068661e+01,3.433575028049584005e-02,5.657308241026266415e+01
-4.699356464791963617e-02,-9.164043098757770900e-02,1.717909541523046993e-02,6.448176435797199701e+02,3.227517682840338326e-02,5.012000743187059015e+01
-5.121860508909233112e-02,-8.998491912951114835e-02,1.764424654151640001e-02,3.702308858344596274e+02,2.596137865315521916e-04,3.621586326735467196e+02
-5.357239087202615713e-02,-8.854193936199114545e-02,1.623962298491671633e-02,2.724919269488076168e+00,2.657107033431655579e-03,1.580930367390316427e+01
-5.260346373489788174e-02,-8.954293900723403477e-02,1.783430960616046168e-02,6.255156832575843318e+00,2.908785833931803381e-04,2.883098849976794895e+02
-5.284169485391100596e-02,-8.931364559718560359e-02,1.650228972626095747e-02,7.762769425031800097e+01,6.631121196795534099e-03,2.810604092510865293e+00
-4.815037796538748638e-02,-9.111426240772543816e-02,1.882642771060622638e-02,9.083854245463865595e+01,3.986473256750234367e-02,1.109745141936966917e+02
-4.711066457993684509e-02,-9.082812757228983513e-02,1.811824047229028400e-02,8.033339215988725357e+01,3.986473256811366023e-02,1.076615517595930385e+02
-4.762883712677493803e-02,-9.253367679999929818e-02,1.403340780871012092e-02,1.761322153893761424e+02,4.608764342380407969e-02,7.133375543395003149e+01
-4.830906266407671013e-02,-9.206831467088780196e-02,1.525239666528114754e-02,1.154241601140515598e+02,4.949119086048638094e-02,1.984306076939035393e+02
-4.628815744197013748e-02,-9.130598264222822280e-02,1.517716969428094947e-02,9.659645648291371955e+00,3.739839869602815114e-03,6.008531768643297255e+01
-4.718176598880224198e-02,-9.118338826302610500e-02,1.579248219355968569e-02,4.163521850534458935e+01,3.755174950227787960e-03,6.118202440524473218e+01
-4.638358229501268054e-02,-9.192752185891124583e-02,1.393395034045393638e-02,5.402096179271863363e+00,1.106552305623047933e-02,3.869856339165702508e+01
-4.734250436174573112e-02,-9.199646744442441237e-02,1.170069912767841835e-02,9.113537594723911894e+00,8.125950574119902500e-03,1.211520907577578043e+01
-4.790230084618117556e-02,-9.288536356612614453e-02,1.281661492597204952e-02,2.680114021202663110e+01,4.596898830177920808e-02,2.922033799682564492e+01
-4.872725585965505951e-02,-9.153287051481164005e-02,1.188714589269577841e-02,2.714243260773192787e+02,8.396964895730047243e-03,2.013634720049053684e+01
-4.928705234409049007e-02,-9.242176663651335833e-02,1.300306169098941131e-02,7.496790940889356492e+00,5.578876351179363341e-02,5.486219933098298895e+01
-4.733994145207894022e-02,-8.999552556761961086e-02,1.618655268112213080e-02,4.204199175692705381e+01,1.423256954883775046e-03,5.076229474623818305e+01
-4.715174011119633440e-02,-8.955300566757914971e-02,1.757316590279291504e-02,4.280651565429204197e+01,1.082946313628427261e-03,4.940039733902495556e+01
-4.878222368138925014e-02,-8.999346731241371355e-02,1.234516344349690514e-02,5.406928612339613210e+03,6.834466755881691419e-03,3.205726001340714220e+02
-4.739747218347992175e-02,-8.956027475228768575e-02,1.215871667847954335e-02,3.906324861705681162e+00,7.377054916033588469e-03,5.132871428290347922e+02
-4.685812444341058702e-02,-9.084079666756958438e-02,1.211956901531509312e-02,6.174538631815133982e+01,2.863230352093505422e-03,4.367244181649903112e+03
-4.617266609608377398e-02,-9.112353784818323643e-02,1.313602734535253974e-02,3.526210578280579000e+01,2.863230352093528840e-03,2.011673657690609573e+01
-4.818766226867112618e-02,-8.895143343965267180e-02,1.828107900609261122e-02,8.000596050861081210e+01,2.045023385247582079e-03,4.479047930603048400e+01
-4.876285913887361267e-02,-8.989669723282253666e-02,1.904049211557172147e-02,1.195862398031135712e+02,1.291923757021051951e-02,1.169114278612417195e+02
-5.002871542861781623e-02,-9.018039466402860693e-02,1.912482435069556147e-02,2.028137085676483764e+01,1.291543474767053827e-02,8.270280291118032778e+01
-5.061034283014218677e-02,-8.922791426637646794e-02,1.854039820754514040e-02,2.685691916341192496e+02,5.402057541061894112e-03,6.351722122357939497e+02
-4.996879699520107715e-02,-9.018797664380494294e-02,1.087089930472799615e-02,1.103171314964163685e+03,1.871061655530939190e-04,3.690672060937876608e+01
-4.939039910475493539e-02,-8.924129079323342428e-02,1.145261376925106253e-02,3.582049983685874395e+01,3.306309979299989089e-03,5.371373994559756504e+00
-5.123378970956579681e-02,-8.991367227852546662e-02,1.095566514652703861e-02,1.327014379096764962e+01,1.640075242839147344e-04,7.626011586568823475e+01
-4.586457756488847293e-02,-9.020007638037863540e-02,1.497439902909924320e-02,3.272426322800773946e+00,5.773174528465822158e-03,2.570625007939732853e+01
-4.644705223662441013e-02,-8.926217595587074283e-02,1.556271615447080321e-02,8.886265124207130839e+01,2.774763999977774166e-03,4.091421624610050856e+01
-4.596000241793101598e-02,-8.992482610732285830e-02,1.373117967527223357e-02,2.915780065158132217e+01,5.672440052980355293e-03,3.065212772003532482e+00
-4.671273316753067617e-02,-8.898707194195036585e-02,1.316665098114440033e-02,1.436613713302139672e+01,8.803293411389391532e-03,7.877683679501840786e+00
-4.848485566016704634e-02,-8.818180896805380420e-02,1.084983550640435113e-02,6.448828216815250869e+00,4.815796616481126356e-03,3.870251281856772696e+00
-4.736046276497263285e-02,-8.849978499175349678e-02,1.139193035015976553e-02,3.225503116881277776e+01,4.834414714883597183e-03,1.933300811957592735e+00
-4.637433332834195454e-02,-8.849731884117245651e-02,1.759370317654668572e-02,2.177605534730437498e+00,1.306832351635323899e-03,7.594402254848503730e+01
-4.583365351924308800e-02,-8.820371599461077072e-02,1.645178745430517231e-02,3.575007221955158521e+00,1.297714585508781375e-03,1.155808122424191140e+02
-4.983510736941278163e-02,-9.123770736088093747e-02,1.412284123960693381e-02,4.022372480157048358e+01,5.678368407808723900e-02,2.094246927523455497e+02
-5.065716761205943386e-02,-8.968115260408734968e-02,1.652375591521219877e-02,6.453598436221402324e+01,6.138939459233085094e-03,1.828990747152184015e+00
-5.016312350035891099e-02,-9.123242457416558260e-02,1.585990929176813238e-02,2.450675757203754870e+02,5.696528404876545493e-02,3.417914704236886223e+02
-4.846780124877891893e-02,-8.969188679578624090e-02,1.564424298827597065e-02,8.822984142503553073e+01,6.095121958122722873e-03,4.669653960980875951e+01
-5.086764946096644646e-02,-9.123418977366432037e-02,1.482736720021446929e-02,3.899713360086078319e+04,5.682440778787365560e-02,6.176560636415564431e+01
-5.180904561446110501e-02,-8.929580986005783427e-02,1.579414746602671865e-02,2.958634929182681503e+02,7.374477576334107116e-03,2.293661698248645919e+01
-4.913058140880523922e-02,-9.123594216138219970e-02,1.515538333116059691e-02,6.067630144604671614e+02,5.692493270314179926e-02,9.943726859414826436e+01
-4.934258328725019821e-02,-8.969379825442035103e-02,1.345885507722291603e-02,3.260631281803208822e+03,9.379431321837213703e-03,5.000290226917940117e+01
-5.166788117843797157e-02,-9.012009770934462094e-02,1.461361378205154604e-02,5.324884725518221984e+01,7.635154755837513137e-03,1.355113961732694072e+01
