a_field_0,a_field_1,a_field_2,x_0,x_1,x_2
-74447164918.416,-356004204655.94,493073880838.29,-0.09289191376705,-0.0573865883382,-0.0451922974209
-31071323581.371,-379480071253.21,655407369285.69,-0.08709159358555,-0.071075376611575,-0.04195316339845
-23896872470.69,-249106438143.89,613761740878.09,-0.087556705108375,-0.06623937105365,-0.04586321464225
-13089126415.23,-421315531638.17,538045717968,-0.08910531488915,-0.061879320638175,-0.04205083003975
-308405568468.91,-68644437780.082,56605277461.523,-0.06089460453095,-0.074745314165675,-0.0943335643779
-322835125209.8,-79342243053.793,228814714749.53,-0.061993853766425,-0.08030553232035,-0.08612308105615
-205951625734.92,-118661476773.18,79240968021.055,-0.079869100418925,-0.071262169793275,-0.09066647196225
-192282501010.93,-87788640306.965,57884696129.298,-0.0758519866176,-0.065987848192375,-0.094388533529225
-293479716694.96,-86134874311.686,70262104115.935,-0.0647380194842,-0.0702893366742,-0.097263172226075
-187576333175.07,-95761866150.813,49329460510.725,-0.072598706694525,-0.070693618262475,-0.097263172226075
-247755422355.02,-64426955069.786,34600964906.327,-0.07094096946435,-0.08117531025145,-0.090804282885175
-205710360220.4,-119252548210.55,78790592105.902,-0.07661582049585,-0.075967939863375,-0.0935411106591
-313142437700.86,-77416699663.062,67014460692.658,-0.063080440709775,-0.080356966142025,-0.091596736603975
-205651655601.15,-56062646441.133,239942450034.38,-0.069854382521,-0.081123876429775,-0.08533062733735
-216882979482.55,-101461639059.49,262750335325.72,-0.077928643662325,-0.081178070604025,-0.075895422894325
